Close,High,Low,Open,Volume
TSLA,TSLA,TSLA,TSLA,TSLA
424.7699890136719,424.8800048828125,402.3800048828125,409.70001220703125,104287600
418.1000061035156,429.29998779296875,415.0,424.8399963378906,87752200
436.2300109863281,436.29998779296875,415.7099914550781,420.0,89000200
463.0199890136719,463.19000244140625,436.1499938964844,441.0899963378906,114083800
479.8599853515625,483.989990234375,457.510009765625,475.8999938964844,131223000
440.1300048828125,488.5400085449219,427.010009765625,466.5,149340800
436.1700134277344,456.3599853515625,420.0199890136719,451.8800048828125,118566100
421.05999755859375,447.0799865722656,417.6400146484375,425.510009765625,132216200
430.6000061035156,434.510009765625,415.4100036621094,431.0,72698100
462.2799987792969,462.7799987792969,435.1400146484375,435.8999938964844,59551800
454.1300048828125,465.3299865722656,451.0199890136719,465.1600036621094,76366400
431.6600036621094,450.0,426.5,449.5199890136719,82666800
417.4100036621094,427.0,415.75,419.3999938964844,64941000
403.8399963378906,427.92999267578125,402.5400085449219,423.7900085449219,76825100
